How did you receive the form?,Drop Off Location for year 2024,Stake for year 2024,Time Spent Collecting Donations,# of Adult Volunteers for year 2024,# of Youth Volunteers for year 2024,Doors in Route for year 2024,Donation Bags Collected for the year 2024,Completed More Than One Route for year 2024,How many routes did you complete? for year 2024,Comment Sentiments for year 2024,Comments or Feedback for year 2024,COMBINED STAKES
In person,Londonberry Chapel,Bonnie Doon Stake,0 - 30 Minutes,2,0,131,9,Yes,2,Positive,Bag should be of different colour so that it's easy to locate ,Londonderry Ward
In person,Riverbend Stake Centre,Riverbend Stake,1 Hour - 1.5 Hours,2,0,150,41,No,1,Neutral,No Comments,Greenfield Ward
In person,Edmonton North Stake Centre,Edmonton North Stake,30 - 60 Minutes,3,4,32,30,No,1,Neutral,No Comments,Griesbach Ward
In person,Londonberry Chapel,Bonnie Doon Stake,2+ Hours,1,1,150,45,Yes,2,Neutral,No Comments,Clareview Ward
In person,Riverbend Stake Centre,Riverbend Stake,2+ Hours,3,0,1030,100,Yes,4,Positive,It was awesome.,Terwillegar Park Ward
In person,Gateway Stake Centre ,Gateway Stake,0 - 30 Minutes,3,0,233,30,No,1,Neutral,No Comments,Silver Berry Ward
In person,Gateway Stake Centre ,Gateway Stake,1 Hour - 1.5 Hours,2,2,180,20,No,1,Neutral,No Comments,Silver Berry Ward
In person,Riverbend Stake Centre,Riverbend Stake,1 Hour - 1.5 Hours,2,3,219,50,No,1,Neutral,No Comments,Greenfield Ward
In person,Londonberry Chapel,Bonnie Doon Stake,0 - 30 Minutes,2,0,15,12,No,1,Neutral,No Comments,Londonderry Ward
In person,Riverbend Stake Centre,Riverbend Stake,1 Hour - 1.5 Hours,2,0,283,51,No,1,Positive,Well organised ,Terwillegar Park Ward
In person,Riverbend Stake Centre,Riverbend Stake,1 Hour - 1.5 Hours,2,1,175,40,Yes,3,Positive,Other routes equaled 394 door and 52 doors colkected,Rabbit Hill Ward
In person,Riverbend Stake Centre,Riverbend Stake,2+ Hours,1,5,132,22,Yes,2,Neutral,No Comments,Rabbit Hill Ward
In person,Riverbend Stake Centre,Riverbend Stake,1 Hour - 1.5 Hours,2,3,350,49,Yes,2,Positive,Very smooth and efficient. ,Terwillegar Park Ward
In person,Gateway Stake Centre ,Gateway Stake,2+ Hours,2,4,730,64,Yes,4,Neutral,No Comments,Crawford Plains Ward
In person,Riverbend Stake Centre,Riverbend Stake,30 - 60 Minutes,1,0,150,20,No,1,Neutral,No Comments,Rutherford Ward
via Email,Gateway Stake Centre ,Gateway Stake,1 Hour - 1.5 Hours,2,2,339,40,No,1,Neutral,No Comments,Silver Berry Ward
In person,Riverbend Stake Centre,Riverbend Stake,2+ Hours,2,1,181,60,Yes,3,Neutral,No Comments,Rabbit Hill Ward
In person,Gateway Stake Centre ,Gateway Stake,30 - 60 Minutes,1,1,146,22,No,1,Neutral,No Comments,Lee Ridge Ward
In person,Gateway Stake Centre ,Gateway Stake,30 - 60 Minutes,2,0,225,30,No,1,Neutral,No Comments,Ellerslie Ward
In person,Riverbend Stake Centre,Riverbend Stake,0 - 30 Minutes,2,3,142,23,No,1,Negative,I did not like filling out this survey it distracted from the service i was doing ,Rutherford Ward
In person,Edmonton North Stake Centre,Edmonton North Stake,2+ Hours,2,0,950,133,Yes,4,Neutral,No Comments,Griesbach Ward
In person,Riverbend Stake Centre,Riverbend Stake,30 - 60 Minutes,2,4,100,28,No,1,Neutral,No Comments,Greenfield Ward
via Email,Bearspaw Chapel,Gateway Stake,1 Hour - 1.5 Hours,4,4,11,16,Yes,3,Neutral,No Comments,Lee Ridge Ward
via Email,Bearspaw Chapel,Gateway Stake,1 Hour - 1.5 Hours,4,4,158,24,Yes,3,Neutral,No Comments,Lee Ridge Ward
In person,Gateway Stake Centre ,Gateway Stake,2+ Hours,1,0,260,200,Yes,2,Neutral,No Comments,Crawford Plains Ward
via Email,Bearspaw Chapel,Gateway Stake,1 Hour - 1.5 Hours,2,0,159,29,No,1,Positive,Went well. Great weather,Lee Ridge Ward
via Email,Bearspaw Chapel,Gateway Stake,1 Hour - 1.5 Hours,4,4,153,25,Yes,3,Neutral,No Comments,Lee Ridge Ward
In person,Gateway Stake Centre ,Gateway Stake,1 Hour - 1.5 Hours,2,2,126,20,Yes,3,Neutral,No Comments,Rio Vista Ward
via Email,Gateway Stake Centre ,Gateway Stake,30 - 60 Minutes,3,4,206,32,Yes,3,Neutral,No Comments,Silver Berry Ward
via Email,Gateway Stake Centre ,Gateway Stake,30 - 60 Minutes,3,4,202,27,Yes,3,Neutral,No Comments,Silver Berry Ward
In person,Edmonton North Stake Centre,Edmonton North Stake,1 Hour - 1.5 Hours,3,1,313,45,Yes,2,Neutral,No Comments,Griesbach Ward
In person,Edmonton North Stake Centre,Edmonton North Stake,0 - 30 Minutes,3,1,140,18,No,1,Neutral,No Comments,Griesbach Ward
In person,Edmonton North Stake Centre,Edmonton North Stake,1 Hour - 1.5 Hours,3,0,300,47,Yes,2,Neutral,No Comments,Griesbach Ward
In person,Edmonton North Stake Centre,Edmonton North Stake,30 - 60 Minutes,1,4,200,40,Yes,2,Neutral,No Comments,Griesbach Ward
In person,Edmonton North Stake Centre,Edmonton North Stake,1 Hour - 1.5 Hours,1,0,151,16,No,1,Positive,Nice doing it ,Namao Ward
via Email,Bearspaw Chapel,Gateway Stake,0 - 30 Minutes,2,4,169,18,Yes,4,Neutral,No Comments,Lee Ridge Ward
via Email,Bearspaw Chapel,Gateway Stake,0 - 30 Minutes,4,4,165,23,Yes,4,Neutral,No Comments,Lee Ridge Ward
via Email,Bearspaw Chapel,Gateway Stake,0 - 30 Minutes,4,4,166,10,Yes,4,Neutral,No Comments,Lee Ridge Ward
via Email,Bearspaw Chapel,Gateway Stake,0 - 30 Minutes,2,4,163,17,Yes,4,Neutral,No Comments,Lee Ridge Ward
via Email,Bearspaw Chapel,Gateway Stake,0 - 30 Minutes,2,2,95,20,No,1,Neutral,No Comments,Blackmud Creek Ward
In person,Bonnie Doon Stake Centre,Bonnie Doon Stake,30 - 60 Minutes,1,0,40,15,No,1,Neutral,No Comments,Clareview Ward
In person,Bonnie Doon Stake Centre,Bonnie Doon Stake,30 - 60 Minutes,2,1,150,15,No,1,Neutral,No Comments,Clareview Ward
In person,Bonnie Doon Stake Centre,Bonnie Doon Stake,0 - 30 Minutes,1,2,100,15,No,1,Neutral,No Comments,Connors Hill Ward
In person,Bonnie Doon Stake Centre,Bonnie Doon Stake,1 Hour - 1.5 Hours,2,0,50,15,No,1,Neutral,No Comments,Londonderry Ward
In person,Bonnie Doon Stake Centre,Bonnie Doon Stake,0 - 30 Minutes,1,0,50,20,No,1,Neutral,No Comments,Forest Heights Ward
In person,Bonnie Doon Stake Centre,Bonnie Doon Stake,30 - 60 Minutes,1,0,235,21,No,1,Neutral,No Comments,Forest Heights Ward
In person,Bonnie Doon Stake Centre,Bonnie Doon Stake,30 - 60 Minutes,1,0,200,100,No,1,Neutral,No Comments,Connors Hill Ward
via Email,Bearspaw Chapel,Bonnie Doon Stake,1 Hour - 1.5 Hours,3,0,375,58,Yes,4,Negative,All the #s are for all routes,Southgate Ward
via Email,Bearspaw Chapel,Gateway Stake,30 - 60 Minutes,2,0,175,30,No,1,Neutral,No Comments,Lee Ridge Ward
via Email,Communities Outside Edmonton,Gateway Stake,2+ Hours,2,0,99,11,Yes,2,Neutral,No Comments,Wainwright Branch
via Email,Communities Outside Edmonton,Gateway Stake,2+ Hours,2,0,153,13,Yes,2,Neutral,No Comments,Wainwright Branch
In person,Bonnie Doon Stake Centre,Bonnie Doon Stake,1 Hour - 1.5 Hours,5,0,202,26,No,1,Negative,Another survey was submitted for Strathcona 7 as well.,Connors Hill Ward
via Email,Riverbend Stake Centre,Riverbend Stake,1 Hour - 1.5 Hours,2,3,200,60,Yes,2,Neutral,No Comments,Rabbit Hill Ward
via Email,Riverbend Stake Centre,Riverbend Stake,30 - 60 Minutes,2,1,159,19,No,1,Neutral,No Comments,Rutherford Ward
via Email,Riverbend Stake Centre,Riverbend Stake,0 - 30 Minutes,2,4,158,24,No,1,Neutral,No Comments,Rutherford Ward
via Email,Riverbend Stake Centre,Riverbend Stake,1 Hour - 1.5 Hours,3,0,132,19,Yes,2,Neutral,No Comments,Rabbit Hill Ward
via Email,Bearspaw Chapel,Riverbend Stake,1 Hour - 1.5 Hours,2,0,289,40,Yes,2,Positive,"Although we go to Rabbit Hill ward, we live closer to the Bearspaw chapel so dropped donations off there. Seemed like much less in the way of donations this year. Thank you NorQuest for helping with the numbers part of this 😊",Rabbit Hill Ward
via Email,Riverbend Stake Centre,Riverbend Stake,1 Hour - 1.5 Hours,3,0,122,20,Yes,2,Neutral,No Comments,Rabbit Hill Ward
via Email,Bearspaw Chapel,Gateway Stake,0 - 30 Minutes,1,1,136,21,Yes,2,Neutral,No Comments,Lee Ridge Ward
via Email,Bearspaw Chapel,Gateway Stake,0 - 30 Minutes,1,1,166,8,Yes,2,Neutral,No Comments,Lee Ridge Ward
via Email,Riverbend Stake Centre,Riverbend Stake,0 - 30 Minutes,3,0,110,10,No,1,Negative,About 12 doors had no soliciting signs,Woodbend Ward
via Email,Riverbend Stake Centre,Riverbend Stake,2+ Hours,1,1,250,62,No,1,Positive,"Many houses did not have their bags in a visible area. 
Is there a way to partner with Canada post so the bags can be provided to neighbors in their mail?",Terwillegar Park Ward
via Email,Riverbend Stake Centre,Riverbend Stake,1 Hour - 1.5 Hours,2,2,60,35,No,1,Neutral,No Comments,Woodbend Ward
via Email,Riverbend Stake Centre,Riverbend Stake,30 - 60 Minutes,2,3,120,31,No,1,Negative,"I'm not sure about the number of doors, this is just an estimate - sorry!",Greenfield Ward
via Email,Riverbend Stake Centre,Riverbend Stake,1 Hour - 1.5 Hours,2,3,200,100,No,1,Neutral,No Comments,Greenfield Ward
via Email,Riverbend Stake Centre,Riverbend Stake,30 - 60 Minutes,2,0,211,47,No,1,Neutral,No Comments,Greenfield Ward
via Email,Riverbend Stake Centre,Riverbend Stake,0 - 30 Minutes,2,1,58,6,No,1,Neutral,No Comments,Rabbit Hill Ward
via Email,Bonnie Doon Stake Centre,Bonnie Doon Stake,30 - 60 Minutes,2,0,150,23,No,1,Positive,"This is an annual tradition for me—it feels so good to be able to contribute and serve in this way. I wish I could do more! But as I’m getting older, this is the best I can do and I’m grateful to be able to do it. Thank you to all the volunteers who make this happen. ",Connors Hill Ward
via Email,Riverbend Stake Centre,Riverbend Stake,1 Hour - 1.5 Hours,1,0,140,33,No,1,Positive,It's a big route for 1 person. The maps for the routes need addresses (at least around the borders of the route) as I don't know how to read maps very well & so that people are not doubling up on the houses (some of the houses my route already has bags in their mailboxes),Greenfield Ward
via Email,Riverbend Stake Centre,Riverbend Stake,1 Hour - 1.5 Hours,3,0,121,45,No,1,Positive,"We need to give people more time to go shopping to get food for donations - that was a comment that I received from multiple people. 
Another comment I got was that the bags are small.  (Not everyone was that generous, but some people had filled up the bag to the top).
As someone picking up bags I found that the brown paper bag blended into people's doorsteps and was hard to see.  The old plastic bags were better, but if you need to use paper then maybe get them colored bright orange, yellow or blue.  
The person helping me deliver bags had trouble with the map (it really isn't very good) and ended up doing part of someone else's route (I let my coordinator know so the other person didn't double up bags on people's steps).  Maps could be a lot better, they need more details.  
Note - according to the map there were more doors than I delivered to, some were 'No Soliciting' and some I just didn't get to because of time and also because I knew from previous experience that people in those areas didn't participate.  (Sorry, I have arthritic knees and I did what I could which is more than last year, no one did my area in 2023).",Terwillegar Park Ward
